sample_id,source_hessian_file,sample_key,method_id,method_display_name,category,level_of_theory,atom_count,formula,mapped_nonisomeric_smiles,charge,spin,energy,hessian_shape,hessian_4d_shape,reference_hessian_shape,file_size_bytes,sha256,path,original_path
31,hessian_0.h5,0022893bf54c5d69b2f96b3cf91b343d,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,22,C6H13FNO,[C:1]([N+:2]1([H:13])[C:3]([H:14])([H:15])[C:4]([H:16])([H:17])[C:5]([F:6])([H:18])[C:7]([O:8][H:20])([H:19])[C:9]1([H:21])[H:22])([H:10])([H:11])[H:12],1,0,-466.0482293958,66x66,,66x66,84032,933dc0ac7f9b62ea28668aad8b872a5dd612f4299d4ace4bb62c03530c23a37a,hessians/semiempirical/g_xtb/hessian_0_sample_00031.h5,results/hessians/gxtb/hessian_0_sample_31_gxtb.h5
33,hessian_0.h5,002507cb64815682913f76bbf13e90a1,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,24,C12H10N2,[C:1]([c:2]1[c:3]([H:18])[n:4][c:5]2[c:6]([H:19])[c:7]([H:20])[c:8]([H:21])[c:9]([C:10]#[N:11])[c:12]2[c:13]1[C:14]([H:22])([H:23])[H:24])([H:15])([H:16])[H:17],0,0,-572.79374926163,72x72,,72x72,97280,f0c7bcc8b8d6e6c49e4c843a5cb7f1fd6d1651346ff8ee8ee1e79029cf2826e5,hessians/semiempirical/g_xtb/hessian_0_sample_00033.h5,results/hessians/gxtb/hessian_0_sample_33_gxtb.h5
35,hessian_0.h5,0028723809a658a1932e24a9e8e0475b,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,15,C7H6BN,[b:1]1[c:2]([C:7]#[C:8][C:9]([H:13])([H:14])[H:15])[c:3]([H:10])[n:4][c:5]([H:11])[c:6]1[H:12],0,0,-349.83002812341,45x45,,45x45,46736,e8de1184c24fae93e1f006d46e23c52214dd71552f398f7217c909d0fff8451f,hessians/semiempirical/g_xtb/hessian_0_sample_00035.h5,results/hessians/gxtb/hessian_0_sample_35_gxtb.h5
37,hessian_0.h5,002ca27674e05dd2aea09939e2ea55e1,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,20,C9H7ClN2S,[Cl:1][c:2]1[n:3][c:5]([C:6]([c:8]2[c:11]([H:14])[c:13]([H:16])[c:15]([H:18])[c:17]([H:19])[c:12]2[H:20])([H:9])[H:10])[n:7][s:4]1,0,0,-1315.05711136853,60x60,,60x60,71936,cb8cf586bb71e55fcce9d78b21846049d109b91988175af8fe998f411028380f,hessians/semiempirical/g_xtb/hessian_0_sample_00037.h5,results/hessians/gxtb/hessian_0_sample_37_gxtb.h5
38,hessian_0.h5,002d2c5b7dd55a838046bf935d51781e,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,32,C10H13BrN2O4S2,[O:1]=[S:2](=[O:3])([N:4]([S:6](=[O:8])(=[O:9])[N:10]1[C:11]([H:13])([H:14])[C:15]([H:16])([H:17])[c:18]2[c:19]([H:21])[c:22]([H:23])[c:24]([Br:25])[c:26]([H:27])[c:20]2[C:12]1([H:28])[H:29])[H:7])[C:5]([H:30])([H:31])[H:32],0,0,-4169.70927724575,96x96,,96x96,162560,a57d89b57e0698f47246c81ecf25d0336a1e2aa6241806f14422c3532c9e83f1,hessians/semiempirical/g_xtb/hessian_0_sample_00038.h5,results/hessians/gxtb/hessian_0_sample_38_gxtb.h5
39,hessian_0.h5,002de88834ca5a90aa95a1c807d9c3a7,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,24,C10H9ClN2O2,[C:1]([O:2][C:3](=[O:4])[n:5]1[n:6][c:8]([C:9]([H:22])([H:23])[H:24])[c:10]2[c:7]1[c:16]([H:18])[c:15]([H:17])[c:12]([Cl:14])[c:11]2[H:13])([H:19])([H:20])[H:21],0,0,-1106.66880305735,72x72,,72x72,97280,e1ed9fca175676c4605090418521f7372dd751b5540c4c3168df8d9a649aa78b,hessians/semiempirical/g_xtb/hessian_0_sample_00039.h5,results/hessians/gxtb/hessian_0_sample_39_gxtb.h5
40,hessian_0.h5,002e7c0f265359448bd1cd69afe866a2,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,34,C15H14ClN3O,[O:1]=[c:2]1[c:3]([Cl:5])[c:6]([C:7]([H:29])([H:30])[H:31])[n:8]([H:9])[c:10]2[n:4]1[n:15][c:13]([C:14]([c:16]1[c:19]([H:21])[c:22]([H:23])[c:24]([H:25])[c:26]([H:27])[c:20]1[H:28])([H:17])[H:18])[c:11]2[C:12]([H:32])([H:33])[H:34],0,0,-1279.72129129252,102x102,,102x102,181616,47325ddc94fa637f04887e01a9f29370a270747ec28728b78ed0669e411ff22a,hessians/semiempirical/g_xtb/hessian_0_sample_00040.h5,results/hessians/gxtb/hessian_0_sample_40_gxtb.h5
56,hessian_0.h5,003a984206be5840b2277c37bfcedc59,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,15,C5H8F2,[C:1]([C:2]1([H:11])[C:3]([C:4]([H:13])([H:14])[H:15])([H:12])[C:5]1([F:6])[F:7])([H:8])([H:9])[H:10],0,0,-395.02437886577,45x45,,45x45,46736,7dbc0e3958fe98b6d0136420c84309995574bb718a73c1998f47f61217347cbd,hessians/semiempirical/g_xtb/hessian_0_sample_00056.h5,results/hessians/gxtb/hessian_0_sample_56_gxtb.h5
59,hessian_0.h5,003e75abc0425c64969d7bd698e6456e,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,46,C19H25BrO,[C:1]([O:2][C:3]1([H:25])[C:4]([H:26])([H:27])[C:5]2([H:28])[C:6]([H:29])([H:30])[C:7]([Br:8])([H:31])[C:9]([H:32])([H:33])[C:10]2([H:34])[C:11]2([H:35])[C:12]([H:36])([H:37])[C:13]([H:38])([H:39])[c:14]3[c:15]([H:40])[c:16]([C:17]([H:41])([H:42])[H:43])[c:18]([H:44])[c:19]([H:45])[c:20]3[C:21]12[H:46])([H:22])([H:23])[H:24],0,0,-3388.28114589384,138x138,,138x138,321248,2fc2909905f07f5d3df57950717003b84857a8d9170ac51225cf879b14f07c65,hessians/semiempirical/g_xtb/hessian_0_sample_00059.h5,results/hessians/gxtb/hessian_0_sample_59_gxtb.h5
67,hessian_0.h5,0044176590155a78b7dd9262c0d56a42,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,18,C6H8N2O2,[C:1]([C:2]([O:6][C:9](=[O:10])[C:11]1=[C:12]([H:14])[C:15]([H:17])([H:18])[N:16]=[N:13]1)([H:7])[H:8])([H:3])([H:4])[H:5],0,0,-493.37610388193,54x54,,54x54,60992,f581ebe6ae1d8f63f393cf2e538eef1621590a06b163735e43c56072d378a6e0,hessians/semiempirical/g_xtb/hessian_0_sample_00067.h5,results/hessians/gxtb/hessian_0_sample_67_gxtb.h5
77,hessian_0.h5,0049a5a715945177b6552c159f98743d,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,18,C8H6ClFNO,[C:1]([C:2](=[O:3])[N-:4][c:5]1[c:6]([H:16])[c:7]([H:17])[c:8]([H:18])[c:9]([Cl:10])[c:11]1[F:12])([H:13])([H:14])[H:15],-1,0,-998.57652219088,54x54,,54x54,60992,45a06ea87712d7dec02ab7202e04a2c4b17582ade24957f982b05c6421827dd1,hessians/semiempirical/g_xtb/hessian_0_sample_00077.h5,results/hessians/gxtb/hessian_0_sample_77_gxtb.h5
78,hessian_0.h5,004be756253b56578c22bf5af8098f34,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,40,C13H25PS,[S:1]=[P:2]([C:3]1([H:6])[C:7]([H:9])([H:10])[C:11]([H:12])([H:13])[C:14]([H:15])([H:16])[C:17]([H:18])([H:19])[C:8]1([H:20])[H:21])([C:4]1([H:22])[C:23]([H:25])([H:26])[C:27]([H:28])([H:29])[C:30]([H:31])([H:32])[C:33]([H:34])([H:35])[C:24]1([H:36])[H:37])[C:5]([H:38])([H:39])[H:40],0,0,-1249.95297097725,120x120,,120x120,246656,2180342eb596572d73fa97b5957c6b72727aa620ed4ee41b5cf5d98ca104bc01,hessians/semiempirical/g_xtb/hessian_0_sample_00078.h5,results/hessians/gxtb/hessian_0_sample_78_gxtb.h5
81,hessian_0.h5,0051adb41e6a5d368ec49c0d427d70f6,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,38,C13H17N3O4S,[C:1]([c:2]1[c:3]([H:25])[c:4]([H:26])[c:5]([H:27])[n:6][c:7]1[S:8](=[O:9])(=[O:10])[N:11]1[C:12]([H:28])([H:29])[C:13]([H:30])([H:31])[C:14](=[O:15])[N:16]([H:32])[C:17]([H:33])([H:34])[C:18]12[C:19]([H:35])([H:36])[O:20][C:21]2([H:37])[H:38])([H:22])([H:23])[H:24],0,0,-1368.96136342407,114x114,,114x114,223184,b36d1d0ca87f8b242ce3bbd70e2a85983a0da7af567cac08ac1f2a343c6199a4,hessians/semiempirical/g_xtb/hessian_0_sample_00081.h5,results/hessians/gxtb/hessian_0_sample_81_gxtb.h5
88,hessian_0.h5,0056a409c05b5feb96bd58d7242f2a67,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,36,C14H16NO5,[C:1]([C:2]1=[C:3]([C:4]([H:24])([H:25])[H:26])[C:5](=[O:6])[C:7]2([H:27])[C:8]3([H:28])[C:9](=[C:10]([C:11]([H:29])([H:30])[H:31])[O-:12])[C:13](=[O:14])[N:15]([H:32])[C:16]3([H:33])[O:17][C:18]2([O:19][H:34])[C:20]1([H:35])[H:36])([H:21])([H:22])[H:23],-1,0,-974.14309976241,108x108,,108x108,201824,c088dde171b6f8a2bd945ace389d2921ac7a11e9f15f2ed5746c140749c93e63,hessians/semiempirical/g_xtb/hessian_0_sample_00088.h5,results/hessians/gxtb/hessian_0_sample_88_gxtb.h5
92,hessian_0.h5,005a0d1991a15591823ee24e311d5e9c,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,16,C7H3FN2O2S,[N:1]#[C:2][S:3][c:4]1[c:5]([H:8])[c:7]([H:10])[c:9]([H:12])[c:11]([F:13])[c:6]1[N+:14](=[O:15])[O-:16],0,0,-1026.47501986372,48x48,,48x48,51200,d43f6aa5a67fe3ea6bfeab24ac3625f21fc81b6ae98ea906ea8e5a72d372e4f8,hessians/semiempirical/g_xtb/hessian_0_sample_00092.h5,results/hessians/gxtb/hessian_0_sample_92_gxtb.h5
160,hessian_0.h5,00973ff0c86d56dab54ccbda2337682c,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,49,C15H30O3Si,[C:1]([C:2]([C:3]([C:4]([C:5]([C:6]([C:7]([C:8](=[C:9]([C:10]([H:35])([H:36])[H:37])[H:34])[H:33])([O:11][C:12](=[O:13])[C:14]([H:38])([H:39])[H:40])[H:32])([O:15][Si:16]([C:17]([H:41])([H:42])[H:43])([C:18]([H:44])([H:45])[H:46])[C:19]([H:47])([H:48])[H:49])[H:31])([H:29])[H:30])([H:27])[H:28])([H:25])[H:26])([H:23])[H:24])([H:20])([H:21])[H:22],0,0,-1104.84061268542,147x147,,147x147,362432,837886ad95b922b4d953e4e39a1b94ba96fce23caefbd41cc7680d6837ccfea2,hessians/semiempirical/g_xtb/hessian_0_sample_00160.h5,results/hessians/gxtb/hessian_0_sample_160_gxtb.h5
220,hessian_0.h5,00eba27f305a5896aa01d763ba3114ed,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,8,C4H2BO,[B:1]1=[C-:2][C:3](=[O:4])[C:5]([H:7])=[C:6]1[H:8],-1,0,-253.58291111681,24x24,,24x24,23552,a0a33e412c7d8159353ae2890708b079827fa394324ebb9384488baca85e7241,hessians/semiempirical/g_xtb/hessian_0_sample_00220.h5,results/hessians/gxtb/hessian_0_sample_220_gxtb.h5
245,hessian_0.h5,010ae2322182534fa8f29aac804f895c,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,14,C5H6N2O,[C:1]([c:2]1[c:3]([H:12])[n:4][n:5][c:6]([O:7][H:13])[c:8]1[H:14])([H:9])([H:10])[H:11],0,0,-378.86320856515,42x42,,42x42,42560,1f07d274cacbd616d1ec3727ce7b9d59382caf81c0d6e1f36461f5b7f0538b0f,hessians/semiempirical/g_xtb/hessian_0_sample_00245.h5,results/hessians/gxtb/hessian_0_sample_245_gxtb.h5
294,hessian_0.h5,01443f4363cf51af9ba0b1b0d0d5b34b,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,48,C20H24N4,[C:1]([c:2]1[c:3]([H:6])[c:5]([C:7]([H:43])([H:44])[H:45])[c:8]2[n:9][c:11]3[n:12]([H:15])[n:14][c:16]([C:17]([H:46])([H:47])[H:48])[c:13]3[c:18]([C:19]([N:20]3[C:23]4([H:27])[C:25]([H:29])([H:30])[C:28]([H:31])([H:32])[C:24]3([H:34])[C:33]([H:35])([H:36])[C:26]4([H:37])[H:38])([H:21])[H:22])[c:10]2[c:4]1[H:39])([H:40])([H:41])[H:42],0,0,-995.56127860058,144x144,,144x144,348416,ca06a1a26972acc75fdd2ecdeb741a1808d820d8febab91dcbb0a7ce53061912,hessians/semiempirical/g_xtb/hessian_0_sample_00294.h5,results/hessians/gxtb/hessian_0_sample_294_gxtb.h5
316,hessian_0.h5,015c245aa8b8526dae04e673589ee870,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,12,C6H2BrFN2,[N:1]#[C:2][c:3]1[n:4][c:5]([H:11])[c:6]([F:7])[c:8]([H:12])[c:9]1[Br:10],0,0,-3013.21409757427,36x36,,36x36,35072,18decd0250f9f8e410d1a6bf5bc50f29d432bef05c98293a3c081f094f2f0bff,hessians/semiempirical/g_xtb/hessian_0_sample_00316.h5,results/hessians/gxtb/hessian_0_sample_316_gxtb.h5
318,hessian_0.h5,0161ee3eb9e055af86a452a5baa943e6,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,12,C3H5N3S,[H:1][C:2]([S:3][c:6]1[n:7][n:10]([H:12])[c:9]([H:11])[n:8]1)([H:4])[H:5],0,0,-679.76609362428,36x36,,36x36,35072,42dbfb4404fa90dfe24fecd787ec45ad6439bd9e67d4c3f4fba6c7891e571de6,hessians/semiempirical/g_xtb/hessian_0_sample_00318.h5,results/hessians/gxtb/hessian_0_sample_318_gxtb.h5
798,hessian_0.h5,0356689a791354ffafe985e590b26136,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,50,C20H21N5O4,[C:1]([N:2]1[C:3](=[O:4])[N:5]([C:6]([H:33])([H:34])[H:35])[C:7](=[O:8])[C:9]2([C:10]([H:36])([H:37])[c:11]3[c:12]([n:13][c:14]4[c:15]([H:38])[c:16]([H:39])[c:17]([H:40])[c:18]([H:41])[n:19]4[c:20]3=[O:21])[N:22]3[C:23]([H:42])([H:43])[C:24]([H:44])([H:45])[C:25]([H:46])([H:47])[C:26]([H:48])([H:49])[C:27]23[H:50])[C:28]1=[O:29])([H:30])([H:31])[H:32],0,0,-1349.58936197034,150x150,,150x150,376736,ba080d472a0c690bbeca62876fdedeb2788646aff8198601ef9e4f8a0b563609,hessians/semiempirical/g_xtb/hessian_0_sample_00798.h5,results/hessians/gxtb/hessian_0_sample_798_gxtb.h5
1229,hessian_0.h5,051f9404b7905362a28d016c604c7174,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,10,CH4FNO2Si,[C:1](=[O:2])([N:3]([Si:4]([H:8])([H:9])[H:10])[H:7])[O:5][F:6],0,0,-635.00551905532,30x30,,30x30,28736,02c76ccbfa5a4f1064bdf9751e30043de06757e703245324b6a71d78e190feb7,hessians/semiempirical/g_xtb/hessian_0_sample_01229.h5,results/hessians/gxtb/hessian_0_sample_1229_gxtb.h5
2850,hessian_0.h5,0bbb65ff0c9a5660939073b37678d16b,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,8,C2H4S2,[C:1]1([H:5])([H:6])[S:2][C:3]([H:7])([H:8])[S:4]1,0,0,-874.9559040988,24x24,,24x24,23552,53c9d0d673955ecc3edbb82d88c6250bd1f4557be501cc35626d1119a47baee5,hessians/semiempirical/g_xtb/hessian_0_sample_02850.h5,results/hessians/gxtb/hessian_0_sample_2850_gxtb.h5
3155,hessian_0.h5,0cfb1ff13ab75b41bcdb1c082b31ee49,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,10,CH5NO2S,[N:1]([S+:2]([O-:5])[O:6][C:7]([H:8])([H:9])[H:10])([H:3])[H:4],0,0,-644.49834970874,30x30,,30x30,28736,0e105e829f1384236111512a4b286371526e9c6ca568b6d7d776f5a8f98696d5,hessians/semiempirical/g_xtb/hessian_0_sample_03155.h5,results/hessians/gxtb/hessian_0_sample_3155_gxtb.h5
3860,hessian_0.h5,0fea7dc174005204b18f47830ca20905,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,5,H4Si,[Si:1]([H:2])([H:3])([H:4])[H:5],0,0,-291.84336301572,15x15,,15x15,18184,37917df44d8779e8ee5bf9aa8738077e2a323523d583b2ad23d7825a602a8ec1,hessians/semiempirical/g_xtb/hessian_0_sample_03860.h5,results/hessians/gxtb/hessian_0_sample_3860_gxtb.h5
5335,hessian_0.h5,15e18b7f4a4d592892ed379d9f90bbd3,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,7,C2H4Si,[C:1]([Si:2]#[C:3][H:7])([H:4])([H:5])[H:6],0,0,-367.9371525104,21x21,,21x21,21392,e4e3b3062800e80579bf1de1bbb1a74ea0179b1836fda4c8cde0159760114022,hessians/semiempirical/g_xtb/hessian_0_sample_05335.h5,results/hessians/gxtb/hessian_0_sample_5335_gxtb.h5
5921,hessian_0.h5,185bc79c6e68556ca08c284b98992d0e,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,6,BF3O2,[B:1]([O:2][F:3])([O:4][F:5])[F:6],0,0,-474.81519696018,18x18,,18x18,19520,ada9e52cb02b7b7134506a50cd49defbfa82c69203647f8a1c4de1021959a58c,hessians/semiempirical/g_xtb/hessian_0_sample_05921.h5,results/hessians/gxtb/hessian_0_sample_5921_gxtb.h5
9719,hessian_0.h5,280e16f57201518dba1c8e795b01b191,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,5,H2Cl2Si,[H:1][Si:2]([H:3])([Cl:4])[Cl:5],0,0,-1211.16199325799,15x15,,15x15,18184,83a266def725ee248dde60b7ca2e76e82f04c31b91f76d3f441aa1c96678bb75,hessians/semiempirical/g_xtb/hessian_0_sample_09719.h5,results/hessians/gxtb/hessian_0_sample_9719_gxtb.h5
47783,hessian_0.h5,c5fbf1f07e8c5eb1934fdd4cfc6b0b05,g_xtb,g-xTB,semiempirical,g-xTB numerical Hessians,3,B2S,[B:1]1=[B:2][S:3]1,0,0,-447.74941576253,9x9,,9x9,13272,690ac8953b90e9f63c89d3f6a283e5d74e59ad8482fba9de05daa9f5ae369d5a,hessians/semiempirical/g_xtb/hessian_0_sample_47783.h5,results/hessians/gxtb/hessian_0_sample_47783_gxtb.h5
11,hessian_0.h5,000a87a04e015bbba8711c2502c9e1a0,gfn2_xtb,GFN2-xTB,semiempirical,GFN2-xTB numerical Hessians,28,C11H13NO3,[H:1][C:2]([O:3][C:6](=[O:7])[C:8]1([H:9])[C:10]([H:12])([H:13])[N:14]([C:15]([H:26])([H:27])[H:28])[c:16]2[c:17]([H:19])[c:20]([H:21])[c:22]([H:23])[c:24]([H:25])[c:18]2[O:11]1)([H:4])[H:5],0,0,-45.3185257477,84x84,,84x84,127904,970a45ab6e44450f9c692c1606646d018811252315618d705fa85588f4cf5e83,hessians/semiempirical/gfn2_xtb/hessian_0_sample_00011.h5,results/hessians/xtb_gfn2/hessian_0_sample_11_xtb_gfn2.h5
26,hessian_0.h5,001c62a118f7533b8c59b976f9c7d3d2,gfn2_xtb,GFN2-xTB,semiempirical,GFN2-xTB numerical Hessians,20,C6H8N6,[C:1]([c:2]1[n:3][c:4]([N:5]([H:16])[H:17])[n:6][c:7]2[n:8][n:9][n:10]([C:11]([H:18])([H:19])[H:20])[c:12]12)([H:13])([H:14])[H:15],0,0,-34.46756143655,60x60,,60x60,71936,881219ebd062d69bd0db1feb48f96f68b698f22cf7a221423ab6cdd92d33b0db,hessians/semiempirical/gfn2_xtb/hessian_0_sample_00026.h5,results/hessians/xtb_gfn2/hessian_0_sample_26_xtb_gfn2.h5
